iter	Passed	Remaining
0	0	956
1	1	914
2	2	879
3	3	833
4	4	808
5	4	779
6	5	763
7	6	755
8	6	749
9	7	741
10	8	738
11	8	722
12	9	724
13	10	724
14	11	725
15	11	728
16	12	729
17	13	730
18	14	731
19	15	739
20	15	742
21	16	726
22	17	725
23	17	723
24	18	723
25	19	719
26	19	718
27	20	714
28	21	708
29	21	707
30	22	707
31	23	704
32	24	704
33	24	706
34	25	704
35	26	706
36	27	707
37	27	707
38	28	698
39	29	696
40	29	697
41	30	699
42	31	691
43	31	690
44	32	691
45	33	684
46	33	683
47	34	683
48	35	684
49	36	684
50	36	683
51	37	683
52	38	683
53	39	683
54	39	682
55	40	677
56	40	674
57	41	671
58	41	669
59	42	666
60	43	663
61	43	659
62	44	655
63	44	650
64	44	645
65	45	641
66	45	639
67	46	636
68	47	634
69	47	632
70	48	630
71	48	626
72	49	625
73	49	624
74	50	620
75	50	617
76	51	615
77	51	613
78	52	613
79	53	612
80	53	609
81	54	607
82	54	604
83	55	605
84	56	604
85	56	604
86	57	601
87	57	599
88	58	594
89	58	593
90	59	592
91	60	592
92	60	590
93	61	588
94	61	587
95	62	584
96	62	581
97	62	578
98	63	576
99	63	573
100	64	572
101	64	570
102	65	569
103	65	567
104	66	566
105	67	565
106	67	563
107	67	561
108	68	561
109	69	560
110	69	558
111	70	556
112	70	555
113	71	553
114	71	552
115	72	550
116	72	549
117	73	546
118	73	544
119	73	541
120	74	539
121	74	536
122	74	533
123	75	531
124	75	528
125	76	527
126	76	526
127	77	524
128	77	523
129	78	522
130	78	519
131	78	518
132	79	516
133	79	515
134	80	514
135	80	513
136	81	512
137	81	510
138	82	511
139	83	511
140	83	510
141	84	509
142	84	508
143	85	505
144	85	504
145	85	502
146	86	501
147	86	500
148	87	498
149	87	497
150	88	494
151	88	494
152	89	492
153	89	491
154	89	490
155	90	489
156	90	487
157	91	486
158	91	485
159	92	484
160	92	483
161	93	482
162	93	481
163	94	480
164	94	479
165	95	477
166	95	475
167	95	473
168	96	472
169	96	470
170	96	469
171	97	468
172	97	467
173	98	467
174	98	465
175	98	462
176	99	461
177	99	461
178	100	459
179	100	458
180	101	457
181	101	456
182	102	455
183	102	454
184	103	453
185	103	452
186	103	452
187	104	450
188	104	449
189	105	448
190	105	447
191	106	446
192	106	445
193	107	444
194	107	444
195	108	443
196	108	442
197	109	441
198	109	440
199	109	439
200	110	438
201	110	437
202	111	436
203	111	436
204	112	435
205	112	434
206	113	433
207	113	433
208	114	432
209	114	431
210	115	430
211	115	429
212	116	429
213	116	428
214	117	427
215	117	426
216	118	425
217	118	424
218	118	424
219	119	423
220	119	422
221	120	421
222	120	420
223	121	419
224	121	418
225	122	417
226	122	416
227	122	416
228	123	415
229	123	414
230	124	413
231	124	412
232	125	411
233	125	410
234	125	409
235	126	409
236	127	408
237	127	407
238	127	407
239	128	406
240	128	405
241	129	405
242	129	404
243	130	403
244	130	402
245	131	401
246	131	401
247	132	400
248	132	399
249	132	398
250	133	398
251	133	397
252	134	396
253	134	395
254	135	395
255	135	394
256	136	393
257	136	393
258	137	392
259	137	391
260	138	391
261	138	390
262	139	389
263	139	388
264	139	388
265	140	387
266	141	387
267	141	386
268	142	386
269	142	385
270	143	384
271	143	384
272	144	383
273	144	382
274	144	382
275	145	381
276	145	380
277	146	379
278	146	379
279	147	378
280	147	377
281	148	377
282	148	376
283	149	375
284	149	374
285	150	374
